Cnode ID, Thread ID,visits,time,min_time,max_time,bytes_put,bytes_get,io_bytes_read,io_bytes_written,bytes_sent,bytes_received
10,3,50,0.00258264,4.04767948333e-007,0.00199806411871,0,0,0,0,0,400000
11,0,420000,0.0183948,2.95243514503e-008,2.62385768534e-006,0,0,0,0,0,0
11,1,420000,0.0184143,2.95241118929e-008,6.36387469898e-006,0,0,0,0,0,0
11,2,420000,0.0183012,2.95241251508e-008,4.14480621471e-006,0,0,0,0,0,0
11,3,420000,0.018355,2.9524250349e-008,2.12755557595e-005,0,0,0,0,0,0
12,0,420100,0.0382488,3.04767498842e-008,0.001914138944,0,0,0,0,1600000,400000
12,1,420100,0.0384919,2.95241118929e-008,0.00165560743198,0,0,0,0,0,400000
12,2,420100,0.038965,3.04765162847e-008,0.00196868961766,0,0,0,0,0,400000
12,3,420100,0.0386514,2.76194600039e-008,0.00166773537707,0,0,0,0,0,400000
13,0,50,0.00122981,1.21906999537e-006,0.0011556240689,0,0,0,0,1600000,400000
13,1,50,0.00119072,4.7143339958e-007,0.000856929728566,0,0,0,0,0,400000
13,2,50,0.00183741,1.34382388993e-006,0.00119406895564,0,0,0,0,0,400000
13,3,50,0.00146284,3.90482020745e-007,0.000882725560886,0,0,0,0,0,400000
14,0,420000,0.0182979,3.04767498842e-008,2.44575917821e-006,0,0,0,0,0,0
14,1,420000,0.0181639,2.95241118929e-008,5.92101302058e-006,0,0,0,0,0,0
14,2,420000,0.0182826,3.04765162847e-008,6.65530924366e-006,0,0,0,0,0,0
14,3,420000,0.0181251,2.76194600039e-008,3.17719029562e-006,0,0,0,0,0,0
15,0,420100,0.0392475,2.95243514503e-008,0.000854449016948,0,0,0,0,1600000,1600000
15,1,420100,0.0381607,2.95241118929e-008,0.000821017932206,0,0,0,0,1600000,1600000
15,2,420100,0.0384288,3.6190863088e-008,0.000827502179726,0,0,0,0,1600000,1600000
15,3,420100,0.0382402,3.04766455215e-008,0.00082824569983,0,0,0,0,1600000,1600000
16,0,50,0.0016215,2.26480347577e-006,7.40956457575e-005,0,0,0,0,1600000,1600000
16,1,50,0.000706771,2.28954725776e-006,3.75841944397e-005,0,0,0,0,1600000,1600000
16,2,50,0.00109513,2.48002651266e-006,6.85321612129e-005,0,0,0,0,1600000,1600000
16,3,50,0.00068326,2.04193524994e-006,5.42941439966e-005,0,0,0,0,1600000,1600000
17,0,420000,0.0185784,2.95243514503e-008,3.46863509619e-006,0,0,0,0,0,0
17,1,420000,0.0184194,2.95241118929e-008,7.02292906768e-006,0,0,0,0,0,0
17,2,420000,0.018575,3.6190863088e-008,4.8495756538e-006,0,0,0,0,0,0
17,3,420000,0.0184635,3.04766455215e-008,1.36668707261e-005,0,0,0,0,0,0
18,0,420100,0.0486798,2.85719530164e-008,0.0112671887167,0,0,0,0,400000,1600000
18,1,420100,0.0487106,2.85717211867e-008,0.0112423960906,0,0,0,0,400000,0
18,2,420100,0.0483336,3.14289074186e-008,0.0112813777462,0,0,0,0,400000,0
18,3,420100,0.0372665,3.04766455215e-008,0.000780611655275,0,0,0,0,400000,0
19,0,50,0.011173,7.00965247336e-007,0.0105064642772,0,0,0,0,400000,1600000
19,1,50,0.0111756,1.35049002142e-006,0.0104929750821,0,0,0,0,400000,0
19,2,50,0.010977,1.10191654192e-006,0.0104969026931,0,0,0,0,400000,0
19,3,50,4.36064e-005,4.18101480749e-007,1.11849289064e-005,0,0,0,0,400000,0
20,0,420000,0.0182983,2.85719530164e-008,2.53909422473e-006,0,0,0,0,0,0
20,1,420000,0.0183799,2.85717211867e-008,8.54675419764e-006,0,0,0,0,0,0
